year,iso3_tp_o,iso3_tp_d,trade_comb,trade_i,trade_e,pref,mfn,tariff,industry
2000,CAN,GHA,0.11880528,0.13017824,0.014764334,,0.13628049,0.13628049,Minerals (26)
2006,MEX,SOM,0.0,0.0,,,,,Food (15t16)
2009,USA,IRN,1.7638427,0.0,1.7638427,,0.40872502,0.40872502,Other (36)
2005,MEX,JPN,720.87836,745.43988,190.84828,8.1268581e-06,0.0018357987,8.0867849e-06,Machines (29t33)
2004,CAN,AUT,83.432617,87.645134,69.868607,,0.096602567,0.096602567,Vehicles (34t35)
2005,USA,IRL,183.22957,198.41206,157.08298,,0.01217511,0.01217511,Wood-Paper (20t22)
2000,USA,HRV,4.6609473,4.9605174,1.824474,,0.15186171,0.15186171,Other (36)
2007,MEX,SLV,101.96238,105.43641,104.62189,0.0,0.027846949,0.027846949,Machines (29t33)
2001,MEX,LBR,0.0,0.0,,,0.19844721,0.19844721,Other (36)
2004,USA,NGA,22.241508,0.0,22.241508,,0.39946806,0.39946806,Other (36)
2001,CAN,IRL,203.59659,210.53348,99.035255,0.0,0.022593787,0.022593787,Machines (29t33)
2010,CAN,TON,0.0055778455,0.0059137167,0.055140801,,0.13477951,0.13477951,Chemicals (23t25)
2009,MEX,BTN,0.0,0.0,0.0,,0.24228723,0.24228723,Other (36)
2000,MEX,BOL,1.59154,1.7180538,3.1027987,0.016463611,0.099008754,0.099008754,Food (15t16)
2009,USA,BHR,31.184147,33.663025,27.941805,0.0023879656,0.10024013,0.059298817,Food (15t16)
2004,USA,ECU,20.044275,21.963072,23.287493,,0.12566097,0.12566097,Minerals (26)
2009,USA,TTO,125.94292,132.3018,71.549545,,0.06287463,0.06287463,Vehicles (34t35)
2004,MEX,CHE,1.5333922,1.6319469,1.542109,0.00026096255,0.0,0.00026096255,Other (36)
2006,CAN,GMB,0.019168086,0.020135885,0.077759661,,0.10191176,0.10191176,Vehicles (34t35)
2002,CAN,AUT,38.508652,40.827457,21.230232,,0.044250295,0.044250295,Chemicals (23t25)
2009,USA,PRT,14.844017,15.798076,16.200024,,0.026029255,0.026029255,Other (36)
2006,MEX,OMN,0.0,0.0,0.0,,0.050000001,0.050000001,Minerals (26)
2004,USA,NIC,95.640358,101.39936,34.241631,0.00038462368,0.019738279,0.019738279,Chemicals (23t25)
2009,USA,ROU,33.048378,35.675446,24.702698,,0.26696044,0.26696044,Food (15t16)
2006,CAN,PAN,1.8493828,1.9427583,9.0668821,,0.10584632,0.10584632,Vehicles (34t35)
2005,CAN,TTO,2.528765,2.7708383,1.1516076,,0.081554882,0.081554882,Minerals (26)
2005,CAN,FJI,0.5371924,0.58170438,0.50492281,,0.10465438,0.10465438,Wood-Paper (20t22)
