,Coefficient,Standard Error,Observations
iso3num_d_year_fe_356.02005,1.6419,2.79,1472
iso3num_d_year_fe_356.0201,3.6076,2.915,1472
iso3num_d_year_fe_356.02015,14.3162,0.465,1472
iso3num_d_year_fe_360.01995,-2.0657,2.932,1472
iso3num_d_year_fe_360.02,0.8597,2.909,1472
iso3num_d_year_fe_360.02005,-0.741,2.935,1472
iso3num_d_year_fe_360.0201,3.3198,2.922,1472
iso3num_d_year_fe_360.02015,11.8338,0.157,1472
iso3num_d_year_fe_364.02005,-3.1383,2.705,1472
iso3num_d_year_fe_364.0201,-0.0285,2.914,1472
iso3num_d_year_fe_364.02015,12.4123,0.774,1472
iso3num_d_year_fe_368.02005,-1.0871,2.785,1472
iso3num_d_year_fe_368.0201,-8.0143,2.826,1472
iso3num_d_year_fe_368.02015,7.9437,0.037,1472
iso3num_d_year_fe_372.01995,-0.153,2.58,1472
iso3num_d_year_fe_372.02,-1.33,2.636,1472
iso3num_d_year_fe_372.02005,2.6254,2.673,1472
iso3num_d_year_fe_372.0201,-3.6754,2.591,1472
iso3num_d_year_fe_372.02015,12.9083,0.505,1472
iso3num_d_year_fe_376.01995,2.7838,2.852,1472
iso3num_d_year_fe_376.02,2.2868,2.771,1472
iso3num_d_year_fe_376.02005,2.0071,2.868,1472
iso3num_d_year_fe_376.0201,2.32,2.797,1472
iso3num_d_year_fe_376.02015,12.774,0.404,1472
iso3num_d_year_fe_380.01995,1.4407,2.625,1472
iso3num_d_year_fe_380.02,1.7328,2.656,1472
iso3num_d_year_fe_380.02005,4.5737,2.637,1472
iso3num_d_year_fe_380.0201,4.0676,2.714,1472
iso3num_d_year_fe_384.01995,-2.4398,2.644,1472
iso3num_d_year_fe_384.0201,2.6125,2.741,1472
iso3num_d_year_fe_384.02015,12.1088,0.59,1472
iso3num_d_year_fe_388.01995,2.4675,2.068,1472
iso3num_d_year_fe_388.02,3.312,2.058,1472
iso3num_d_year_fe_388.02005,2.2042,2.096,1472
iso3num_d_year_fe_388.0201,3.3781,2.002,1472
iso3num_d_year_fe_392.01995,3.1662,2.829,1472
iso3num_d_year_fe_392.02,4.7305,2.76,1472
iso3num_d_year_fe_392.02005,1.9013,2.766,1472
iso3num_d_year_fe_392.0201,3.4557,2.764,1472
iso3num_d_year_fe_392.02015,9.5389,0.748,1472
iso3num_d_year_fe_398.02015,9.3257,0.048,1472
iso3num_d_year_fe_400.01995,-0.9986,2.851,1472
iso3num_d_year_fe_400.02005,-3.7427,2.705,1472
iso3num_d_year_fe_400.0201,-7.623,2.831,1472
iso3num_d_year_fe_400.02015,10.7269,0.774,1472
iso3num_d_year_fe_404.01995,-3.5874,2.833,1472
iso3num_d_year_fe_404.02,-8.1305,2.868,1472
iso3num_d_year_fe_404.02005,0.4672,2.79,1472
iso3num_d_year_fe_404.0201,-1.5089,2.726,1472
iso3num_d_year_fe_404.02015,9.3932,0.658,1472
iso3num_d_year_fe_410.01995,0.7784,2.803,1472
iso3num_d_year_fe_410.02,1.1869,2.765,1472
iso3num_d_year_fe_410.02005,3.4027,2.793,1472
iso3num_d_year_fe_410.0201,4.8532,2.838,1472
iso3num_d_year_fe_410.02015,14.7722,0.243,1472
iso3num_d_year_fe_414.01995,-1.2547,2.832,1472
iso3num_d_year_fe_414.02,-1.0666,2.839,1472
iso3num_d_year_fe_414.0201,-0.982,2.767,1472
iso3num_d_year_fe_417.02005,-6.8421,2.831,1472
iso3num_d_year_fe_417.02015,9.0605,0.797,1472
iso3num_d_year_fe_418.0201,-4.3546,2.949,1472
iso3num_d_year_fe_422.01995,-0.5031,2.771,1472
iso3num_d_year_fe_422.02,1.4941,2.671,1472
iso3num_d_year_fe_422.0201,2.3671,2.858,1472
iso3num_d_year_fe_422.02015,11.0183,0.0,1472
iso3num_d_year_fe_428.01995,-1.2306,2.828,1472
iso3num_d_year_fe_428.02005,-7.2657,2.841,1472
iso3num_d_year_fe_428.02015,7.5678,0.854,1472
iso3num_d_year_fe_440.01995,1.162,2.764,1472
iso3num_d_year_fe_440.02,-7.7587,2.76,1472
iso3num_d_year_fe_440.0201,-1.5484,2.739,1472
iso3num_d_year_fe_440.02015,10.6421,0.172,1472
iso3num_d_year_fe_442.02005,-5.2506,2.713,1472
iso3num_d_year_fe_442.0201,-0.2601,2.703,1472
iso3num_d_year_fe_442.02015,8.4777,0.52,1472
iso3num_d_year_fe_446.02005,-4.5034,2.841,1472
iso3num_d_year_fe_446.0201,0.5617,2.893,1472
iso3num_d_year_fe_450.02,-1.153,2.75,1472
iso3num_d_year_fe_450.02005,-2.2593,2.843,1472
iso3num_d_year_fe_454.02,-4.0306,2.856,1472
iso3num_d_year_fe_454.0201,1.392,2.795,1472
iso3num_d_year_fe_454.02015,8.8687,0.741,1472
iso3num_d_year_fe_458.01995,-0.02,2.913,1472
iso3num_d_year_fe_458.02,3.3542,2.784,1472
iso3num_d_year_fe_458.02005,1.7794,2.819,1472
iso3num_d_year_fe_458.0201,1.6673,2.902,1472
iso3num_d_year_fe_458.02015,13.7379,0.234,1472
iso3num_d_year_fe_462.0201,-5.6983,2.86,1472
iso3num_d_year_fe_470.0201,0.606,2.689,1472
iso3num_d_year_fe_470.02015,8.4524,0.46,1472
iso3num_d_year_fe_480.01995,0.1757,2.812,1472
iso3num_d_year_fe_480.02,-1.6028,2.89,1472
iso3num_d_year_fe_480.0201,-0.7232,2.816,1472
iso3num_d_year_fe_480.02015,6.5085,0.4630000000000001,1472
iso3num_d_year_fe_484.01995,-0.3062,0.669,1472
iso3num_d_year_fe_484.02,1.0916,0.603,1472
iso3num_d_year_fe_484.0201,0.3932,0.468,1472
iso3num_d_year_fe_484.02015,11.0929,2.666,1472
iso3num_d_year_fe_496.0201,0.9816,2.889,1472
iso3num_d_year_fe_498.02005,-6.4711,2.797,1472
iso3num_d_year_fe_498.02015,9.2324,0.0,1472
iso3num_d_year_fe_499.0201,-0.2145,2.782,1472
iso3num_d_year_fe_499.02015,7.8019,0.536,1472
iso3num_d_year_fe_504.01995,0.001,2.5620000000000003,1472
iso3num_d_year_fe_504.02,1.5817,2.595,1472
iso3num_d_year_fe_504.02005,-1.0651,2.774,1472
iso3num_d_year_fe_504.0201,-5.6125,2.688,1472
iso3num_d_year_fe_504.02015,9.1259,0.681,1472
iso3num_d_year_fe_508.02005,-1.4392,2.729,1472
iso3num_d_year_fe_508.0201,-0.5583,2.837,1472
iso3num_d_year_fe_508.02015,11.1191,0.704,1472
iso3num_d_year_fe_512.02005,-4.1475,2.756,1472
iso3num_d_year_fe_512.0201,-6.6934,2.935,1472
iso3num_d_year_fe_516.02,-2.606,2.7419999999999995,1472
iso3num_d_year_fe_516.02005,-8.2752,2.868,1472
iso3num_d_year_fe_516.02015,7.5004,0.748,1472
iso3num_d_year_fe_524.02015,2.6343,0.708,1472
iso3num_d_year_fe_528.01995,-0.1731,2.616,1472
iso3num_d_year_fe_528.02,4.6932,2.729,1472
iso3num_d_year_fe_528.02005,3.1028,2.671,1472
iso3num_d_year_fe_528.0201,3.9382,2.643,1472
iso3num_d_year_fe_528.02015,13.2994,0.287,1472
iso3num_d_year_fe_554.01995,1.9677,2.791,1472
iso3num_d_year_fe_554.02,0.9968,2.711,1472
iso3num_d_year_fe_554.02005,0.2668,2.782,1472
iso3num_d_year_fe_554.0201,2.7764,2.813,1472
iso3num_d_year_fe_554.02015,10.9497,0.197,1472
iso3num_d_year_fe_558.01995,-3.7383,0.727,1472
iso3num_d_year_fe_558.02,-0.4683,0.743,1472
iso3num_d_year_fe_558.02005,-1.9896,0.849,1472
iso3num_d_year_fe_558.0201,-3.2225,0.881,1472
iso3num_d_year_fe_558.02015,9.1897,3.112,1472
iso3num_d_year_fe_562.02,-5.6109,2.55,1472
iso3num_d_year_fe_566.01995,2.0361,2.595,1472
iso3num_d_year_fe_566.02,1.0154,2.604,1472
iso3num_d_year_fe_566.02005,-2.319,2.712,1472
iso3num_d_year_fe_566.0201,-1.1326,2.6500000000000004,1472
iso3num_d_year_fe_578.01995,0.7771,2.695,1472
iso3num_d_year_fe_578.02005,1.6866,2.623,1472
iso3num_d_year_fe_578.0201,3.4468,2.635,1472
iso3num_d_year_fe_578.02015,11.609,0.23,1472
iso3num_d_year_fe_586.02,-1.7187,2.803,1472
iso3num_d_year_fe_586.02005,-1.7054,2.811,1472
iso3num_d_year_fe_586.0201,0.8133,2.848,1472
iso3num_d_year_fe_586.02015,13.5384,0.684,1472
iso3num_d_year_fe_591.01995,-1.2266,0.691,1472
iso3num_d_year_fe_591.02,-0.0269,0.726,1472
iso3num_d_year_fe_591.02005,-1.2013,0.716,1472
iso3num_d_year_fe_591.02015,9.6704,3.005,1472
iso3num_d_year_fe_598.0201,-3.452,2.79,1472
iso3num_d_year_fe_600.01995,-2.4115,1.071,1472
iso3num_d_year_fe_600.02005,-1.1629,0.723,1472
iso3num_d_year_fe_600.0201,-0.4603,0.947,1472
iso3num_d_year_fe_600.02015,9.937,2.71,1472
iso3num_d_year_fe_604.01995,-0.6243,0.59,1472
iso3num_d_year_fe_604.02,-0.0434,0.742,1472
iso3num_d_year_fe_604.02005,-0.7525,0.595,1472
iso3num_d_year_fe_604.0201,-0.1942,0.329,1472
iso3num_d_year_fe_604.02015,9.7453,2.691,1472
iso3num_d_year_fe_608.02,3.9071,2.798,1472
iso3num_d_year_fe_608.02005,1.0645,2.841,1472
iso3num_d_year_fe_608.0201,0.2097,2.861,1472
iso3num_d_year_fe_608.02015,8.7946,0.273,1472
iso3num_d_year_fe_616.02005,3.1098,2.734,1472
iso3num_d_year_fe_616.0201,-0.4289,2.706,1472
iso3num_d_year_fe_616.02015,11.1243,0.349,1472
iso3num_d_year_fe_620.01995,-0.9709,2.558,1472
iso3num_d_year_fe_620.02,0.8602,2.599,1472
iso3num_d_year_fe_620.02005,-2.9026,2.754,1472
iso3num_d_year_fe_620.0201,3.875,2.622,1472
iso3num_d_year_fe_620.02015,10.8456,0.178,1472
iso3num_d_year_fe_634.02,-1.4281,2.856,1472
iso3num_d_year_fe_634.02005,1.5101,2.88,1472
iso3num_d_year_fe_634.0201,0.7002,2.778,1472
iso3num_d_year_fe_634.02015,12.1596,0.053,1472
iso3num_d_year_fe_642.01995,0.9794,2.652,1472
iso3num_d_year_fe_642.02,1.8215,2.612,1472
iso3num_d_year_fe_642.02005,-1.2814,2.804,1472
iso3num_d_year_fe_642.0201,1.4015,2.733,1472
iso3num_d_year_fe_642.02015,12.8628,0.644,1472
iso3num_d_year_fe_643.02,4.419,2.714,1472
iso3num_d_year_fe_643.02005,0.27,2.672,1472
iso3num_d_year_fe_643.0201,1.829,2.719,1472
iso3num_d_year_fe_643.02015,10.5955,0.229,1472
iso3num_d_year_fe_646.0201,-3.9895,2.841,1472
iso3num_d_year_fe_646.02015,10.3494,0.752,1472
iso3num_d_year_fe_662.01995,-0.2664,2.357,1472
iso3num_d_year_fe_662.02,1.242,2.244,1472
iso3num_d_year_fe_662.02005,0.9164,2.257,1472
iso3num_d_year_fe_662.0201,1.3049,2.268,1472
iso3num_d_year_fe_662.02015,11.8745,0.803,1472
iso3num_d_year_fe_682.01995,-0.3823,2.877,1472
iso3num_d_year_fe_682.02,0.6414,2.703,1472
iso3num_d_year_fe_682.02005,2.4187,2.706,1472
iso3num_d_year_fe_682.0201,2.9526,2.791,1472
iso3num_d_year_fe_682.02015,14.0008,0.401,1472
iso3num_d_year_fe_686.01995,-3.2676,2.606,1472
iso3num_d_year_fe_686.0201,-1.5059,2.727,1472
iso3num_d_year_fe_686.02015,10.7496,0.714,1472
iso3num_d_year_fe_688.0201,-1.4341,2.768,1472
iso3num_d_year_fe_688.02015,7.9878,0.711,1472
iso3num_d_year_fe_694.01995,-1.867,2.563,1472
iso3num_d_year_fe_694.02015,8.053,0.886,1472
iso3num_d_year_fe_702.01995,2.464,2.878,1472
iso3num_d_year_fe_702.02,3.1116,2.884,1472
iso3num_d_year_fe_702.02005,0.755,2.846,1472
iso3num_d_year_fe_702.0201,2.2529,2.878,1472
iso3num_d_year_fe_702.02015,14.1761,0.661,1472
iso3num_d_year_fe_703.01995,-0.508,2.769,1472
iso3num_d_year_fe_703.02,-1.8771,2.673,1472
iso3num_d_year_fe_703.02005,4.1973,2.6500000000000004,1472
iso3num_d_year_fe_703.0201,1.3967,2.752,1472
iso3num_d_year_fe_703.02015,10.2678,0.262,1472
iso3num_d_year_fe_704.02,3.5189,2.902,1472
iso3num_d_year_fe_704.02005,1.8746,2.904,1472
iso3num_d_year_fe_704.0201,2.4395,2.867,1472
iso3num_d_year_fe_704.02015,14.4468,0.213,1472
iso3num_d_year_fe_705.01995,0.5238,2.708,1472
iso3num_d_year_fe_705.02,-0.427,2.7579999999999996,1472
iso3num_d_year_fe_705.02005,2.2848,2.69,1472
iso3num_d_year_fe_705.0201,0.6654,2.682,1472
iso3num_d_year_fe_705.02015,12.5227,0.8669999999999999,1472
iso3num_d_year_fe_710.01995,2.2317,2.766,1472
iso3num_d_year_fe_710.02005,2.039,2.673,1472
iso3num_d_year_fe_710.0201,-0.2573,2.761,1472
iso3num_d_year_fe_710.02015,12.752,0.705,1472
iso3num_d_year_fe_716.01995,-5.0968,2.855,1472
iso3num_d_year_fe_716.0201,-0.7597,2.887,1472
iso3num_d_year_fe_724.02005,-11.2436,2.664,1472
iso3num_d_year_fe_724.0201,-10.5656,2.6830000000000003,1472
iso3num_d_year_fe_736.02,1.6522,2.817,1472
iso3num_d_year_fe_740.01995,-0.9078,2.339,1472
iso3num_d_year_fe_740.02,0.4864,2.394,1472
iso3num_d_year_fe_740.02005,0.1823,2.376,1472
iso3num_d_year_fe_740.0201,1.4675,2.36,1472
iso3num_d_year_fe_748.0201,-5.1413,2.768,1472
iso3num_d_year_fe_748.02015,2.8187,0.6790000000000002,1472
iso3num_d_year_fe_752.01995,3.4831,2.793,1472
iso3num_d_year_fe_752.02,3.0756,2.645,1472
iso3num_d_year_fe_752.02005,1.214,2.667,1472
iso3num_d_year_fe_752.0201,3.5568,2.737,1472
iso3num_d_year_fe_752.02015,11.5165,0.877,1472
iso3num_d_year_fe_756.01995,0.0007,2.681,1472
iso3num_d_year_fe_756.02,2.7963,2.727,1472
iso3num_d_year_fe_756.0201,3.4905,2.763,1472
iso3num_d_year_fe_756.02015,13.7518,0.48,1472
