"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","160249","Meat preparations; of swine, meat or meat offal (including mixtures), prepared or preserved, n.e.s. in heading no. 1602","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1568","false","-1","N/A",,"false","1568","false",,"false",,"4148","4148","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","160250","Meat preparations; of bovine animals, meat or meat offal, prepared or preserved (excluding livers and homogenised preparations)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1374","false","-1","N/A",,"false","1374","false",,"false",,"2490","2490","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","160413","Fish preparations; sardines, sardinella and brisling or sprats, prepared or preserved, whole or in pieces (but not minced)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","206","false","-1","N/A",,"false","206","false",,"false",,"693","693","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","160540","Crustacean preparations; prepared or preserved crustaceans (excluding crab, shrimps, prawns and lobster)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","-1","N/A",,"false","50","false",,"false",,"596","596","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","170111","Sugars; cane sugar, raw, in solid form, not containing added flavouring or colouring matter","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","109325534","false","-1","N/A",,"false","109325534","false",,"false",,"37115969","37115969","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","170310","Sugars; molasses, from sugar cane, resulting from the extraction or refining of sugar","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"133810","133810","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","180100","Cocoa beans; whole or broken, raw or roasted","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29887","false","-1","N/A",,"false","29887","false",,"false",,"30452","30452","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","190190","Food preparations; of flour, meal, starch, malt extract or milk products, for uses n.e.s. in heading no. 1901","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3549","false","-1","N/A",,"false","3549","false",,"false",,"9320","9320","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","190590","Food preparations; bakers' wares n.e.s. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","109","false","-1","N/A",,"false","109","false",,"false",,"516","516","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","200551","Vegetable preparations; beans, shelled, prepared or preserved otherwise than by vinegar or acetic acid, not frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17636","false","-1","N/A",,"false","17636","false",,"false",,"21976","21976","0","false","false",
