TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AltQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,214,DOM,Dominican Rep.,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,26,FALSE,5,u,26,FALSE,328,FALSE,0,FALSE,,22950,22950,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,276,DEU,Germany,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,53,FALSE,5,u,53,FALSE,736,FALSE,0,FALSE,,34600,34600,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,320,GTM,Guatemala,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4,FALSE,5,u,4,FALSE,161.9,FALSE,0,FALSE,,22100,22100,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,380,ITA,Italy,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,109,FALSE,5,u,109,FALSE,1597,FALSE,0,FALSE,,59500,59500,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,484,MEX,Mexico,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,74,FALSE,5,u,74,FALSE,1109,FALSE,0,FALSE,,52850,52850,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,528,NLD,Netherlands,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,18,FALSE,5,u,18,FALSE,251,FALSE,0,FALSE,,9300,9300,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,591,PAN,Panama,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,25,FALSE,5,u,25,FALSE,369,FALSE,0,FALSE,,17620,17620,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,724,ESP,Spain,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,509,FALSE,5,u,509,FALSE,7181.5,FALSE,0,FALSE,,197450,197450,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,73,FALSE,5,u,73,FALSE,665,FALSE,0,FALSE,,17230,17230,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,904,FALSE,5,u,904,FALSE,9386.85,FALSE,0,FALSE,,785630,785630,0,TRUE,FALSE
